ITEM_ID,CATEGORIES
2147436167,A
2025200271,B
2137612599,C
2300002965,C
3200000052,B
2025202481,A|B|C
3300000078,B
2100004420,C|D|E
2100013954,D
2101304584,E
2300002967,A
2137612737,B
2100047126,C
2100046977,D
2107182013,E
2300003158,A
2100004084,B
3300000060,C|D|E
2122243317,D
2300003269,E|B|C
2107105883,A
2100035630,B
2300002835,C
2153475107,D|B|C
2100030831,E
2300001053,A
2134513386,B|C|E
2300003142,C
2300003141,D
2300003041,E
2025158135,A
2300003100,B
2300001503,C
3200000067,D
3200000073,E
2100001788,A|C|E
2013712994,B|C|E
2004469118,C
2300002524,D
2025208363,E
320000073,A
3200000134,B
2137613640,C
2123132631,D
2100339367,E
3200000060,A
2110068679,B
2140591566,C
3251587494,D
3200010218,E
2141509195,A|C|E
2143442517,B
2141985186,C
3200000168,D
3200010217,E|B|C
2151102059,A
2143451729,B
2154985144,C
2154679195,D
2132514950,E
2201325589,A|B|C
2025200275,B
2142654552,C
2025190958,D
3200010216,E
2100020982,A
2025202531,B
3200010219,C
2134513704,D
2136720470,E
2142643690,A
2142261158,B
2154172667,C
2300001051,D
2025200057,E
2153444720,A
3251588025,B
2151896270,C|D|E
2151896253,D
2149921583,E
3300000064,A
2154298592,B|C|E
2147439756,C
2155291227,D
2154338227,E
2155142614,A
2155575870,B
2155919573,C
2153059079,D
2152875992,E
2153134288,A|C|E
2152967162,B|C|E
2155553113,C
2154983901,D
2147329806,E
2152961980,A
2143496294,B
2155796503,C
2155882725,D
2155886917,E
2155020683,A|C|E
2153841496,B
2154444006,C
2143804874,D
2154984059,E
2155846344,A
2150368085,B|C|E
2150368211,C|D|E
2147722388,D
2135420521,E|B|C
2143132076,A
2016135342,B
3200000013,C
2149273548,D
2087474636,E
3200010179,A|B|C
2152803866,B
3200000018,C
3300018120,D
2154823057,E
2154800064,A
3300018116,B
2154801848,C
3200010206,D
2154801663,E
2099390572,A
2154799991,B|C|E
2154802102,C
2154009109,D
2154801813,E
2104771490,A
2153840628,B
2154853941,C|D|E
3200000008,D
320000008,E
2152417742,A
3200000133,B
3300031248,C
2134525010,D
2154984867,E
3200000065,A
2146866485,B
2100038928,C
3251588035,D
2025206942,E|B|C
2037754294,A|C|E
2100003907,B
2016202614,C
2025206882,D
2153232041,E
2154854609,A
2154854494,B
2152703694,C
2151280030,D
2151280069,E
2150474024,A|C|E
2151664038,B|C|E
2143114117,C
2152703892,D
2154430492,E|B|C
2153651022,A
2152944761,B
2153494176,C|D|E
2153941332,A
2152798180,B
3200013606,C
2154823568,C
2146816912,B
2154985271,A|B|C
2143070064,B
2145638774,C|D|E
2145638807,D
2144777816,E
2143177807,A
2153253035,B
2145104307,C
2145663477,D
2143888019,E
2143070777,A
2143071528,B
2144777749,C|D|E
2144777711,D
2154394149,E|B|C
2154263068,A
2154263501,B
2154263273,C
2153940748,D|B|C
2154304002,E
2154592964,A
